r,x,y_low,y_up
1,1.000000,38.79894,39.67705
2,1.079079,38.79687,39.67372
3,1.158158,38.79481,39.67040
4,1.237237,38.79275,39.66708
5,1.316316,38.79068,39.66376
6,1.395395,38.78861,39.66044
7,1.474474,38.78655,39.65712
8,1.553554,38.78448,39.65379
9,1.632633,38.78242,39.65047
10,1.711712,38.78035,39.64715
11,1.790791,38.77828,39.64384
12,1.869870,38.77621,39.64052
13,1.948949,38.77415,39.63720
14,2.028028,38.77208,39.63388
15,2.107107,38.77001,39.63056
16,2.186186,38.76794,39.62725
17,2.265265,38.76587,39.62393
18,2.344344,38.76380,39.62061
19,2.423423,38.76173,39.61730
20,2.502503,38.75966,39.61398
21,2.581582,38.75759,39.61067
22,2.660661,38.75551,39.60735
23,2.739740,38.75344,39.60404
24,2.818819,38.75137,39.60072
25,2.897898,38.74929,39.59741
26,2.976977,38.74722,39.59410
27,3.056056,38.74515,39.59078
28,3.135135,38.74307,39.58747
29,3.214214,38.74100,39.58416
30,3.293293,38.73892,39.58085
31,3.372372,38.73684,39.57754
32,3.451451,38.73477,39.57423
33,3.530531,38.73269,39.57092
34,3.609610,38.73061,39.56761
35,3.688689,38.72854,39.56430
36,3.767768,38.72646,39.56099
37,3.846847,38.72438,39.55769
38,3.925926,38.72230,39.55438
39,4.005005,38.72022,39.55107
40,4.084084,38.71814,39.54776
41,4.163163,38.71606,39.54446
42,4.242242,38.71398,39.54115
43,4.321321,38.71189,39.53785
44,4.400400,38.70981,39.53454
45,4.479479,38.70773,39.53124
46,4.558559,38.70565,39.52794
47,4.637638,38.70356,39.52463
48,4.716717,38.70148,39.52133
49,4.795796,38.69939,39.51803
50,4.874875,38.69731,39.51473
51,4.953954,38.69522,39.51143
52,5.033033,38.69314,39.50813
53,5.112112,38.69105,39.50483
54,5.191191,38.68896,39.50153
55,5.270270,38.68688,39.49823
56,5.349349,38.68479,39.49493
57,5.428428,38.68270,39.49163
58,5.507508,38.68061,39.48833
59,5.586587,38.67852,39.48504
60,5.665666,38.67643,39.48174
61,5.744745,38.67434,39.47844
62,5.823824,38.67225,39.47515
63,5.902903,38.67016,39.47185
64,5.981982,38.66806,39.46856
65,6.061061,38.66597,39.46526
66,6.140140,38.66388,39.46197
67,6.219219,38.66178,39.45868
68,6.298298,38.65969,39.45539
69,6.377377,38.65759,39.45209
70,6.456456,38.65550,39.44880
71,6.535536,38.65340,39.44551
72,6.614615,38.65130,39.44222
73,6.693694,38.64921,39.43893
74,6.772773,38.64711,39.43564
75,6.851852,38.64501,39.43236
76,6.930931,38.64291,39.42907
77,7.010010,38.64081,39.42578
78,7.089089,38.63871,39.42249
79,7.168168,38.63661,39.41921
80,7.247247,38.63451,39.41592
81,7.326326,38.63241,39.41264
82,7.405405,38.63031,39.40935
83,7.484484,38.62820,39.40607
84,7.563564,38.62610,39.40279
85,7.642643,38.62400,39.39950
86,7.721722,38.62189,39.39622
87,7.800801,38.61979,39.39294
88,7.879880,38.61768,39.38966
89,7.958959,38.61557,39.38638
90,8.038038,38.61347,39.38310
91,8.117117,38.61136,39.37982
92,8.196196,38.60925,39.37654
93,8.275275,38.60714,39.37326
94,8.354354,38.60503,39.36999
95,8.433433,38.60292,39.36671
96,8.512513,38.60081,39.36343
97,8.591592,38.59870,39.36016
98,8.670671,38.59659,39.35688
99,8.749750,38.59448,39.35361
100,8.828829,38.59236,39.35033
101,8.907908,38.59025,39.34706
102,8.986987,38.58814,39.34379
103,9.066066,38.58602,39.34052
104,9.145145,38.58391,39.33725
105,9.224224,38.58179,39.33398
106,9.303303,38.57967,39.33071
107,9.382382,38.57756,39.32744
108,9.461461,38.57544,39.32417
109,9.540541,38.57332,39.32090
110,9.619620,38.57120,39.31763
111,9.698699,38.56908,39.31437
112,9.777778,38.56696,39.31110
113,9.856857,38.56484,39.30783
114,9.935936,38.56271,39.30457
115,10.015015,38.56059,39.30131
116,10.094094,38.55847,39.29804
117,10.173173,38.55634,39.29478
118,10.252252,38.55422,39.29152
119,10.331331,38.55209,39.28826
120,10.410410,38.54997,39.28500
121,10.489489,38.54784,39.28174
122,10.568569,38.54571,39.27848
123,10.647648,38.54359,39.27522
124,10.726727,38.54146,39.27196
125,10.805806,38.53933,39.26870
126,10.884885,38.53720,39.26545
127,10.963964,38.53507,39.26219
128,11.043043,38.53293,39.25894
129,11.122122,38.53080,39.25568
130,11.201201,38.52867,39.25243
131,11.280280,38.52653,39.24918
132,11.359359,38.52440,39.24592
133,11.438438,38.52227,39.24267
134,11.517518,38.52013,39.23942
135,11.596597,38.51799,39.23617
136,11.675676,38.51585,39.23292
137,11.754755,38.51372,39.22967
138,11.833834,38.51158,39.22643
139,11.912913,38.50944,39.22318
140,11.991992,38.50730,39.21993
141,12.071071,38.50516,39.21669
142,12.150150,38.50301,39.21344
143,12.229229,38.50087,39.21020
144,12.308308,38.49873,39.20696
145,12.387387,38.49658,39.20371
146,12.466466,38.49444,39.20047
147,12.545546,38.49229,39.19723
148,12.624625,38.49015,39.19399
149,12.703704,38.48800,39.19075
150,12.782783,38.48585,39.18751
151,12.861862,38.48370,39.18427
152,12.940941,38.48155,39.18104
153,13.020020,38.47940,39.17780
154,13.099099,38.47725,39.17457
155,13.178178,38.47510,39.17133
156,13.257257,38.47295,39.16810
157,13.336336,38.47079,39.16486
158,13.415415,38.46864,39.16163
159,13.494494,38.46648,39.15840
160,13.573574,38.46433,39.15517
161,13.652653,38.46217,39.15194
162,13.731732,38.46001,39.14871
163,13.810811,38.45785,39.14548
164,13.889890,38.45569,39.14226
165,13.968969,38.45353,39.13903
166,14.048048,38.45137,39.13580
167,14.127127,38.44921,39.13258
168,14.206206,38.44705,39.12936
169,14.285285,38.44488,39.12613
170,14.364364,38.44272,39.12291
171,14.443443,38.44055,39.11969
172,14.522523,38.43839,39.11647
173,14.601602,38.43622,39.11325
174,14.680681,38.43405,39.11003
175,14.759760,38.43188,39.10681
176,14.838839,38.42971,39.10360
177,14.917918,38.42754,39.10038
178,14.996997,38.42537,39.09717
179,15.076076,38.42320,39.09395
180,15.155155,38.42102,39.09074
181,15.234234,38.41885,39.08753
182,15.313313,38.41667,39.08431
183,15.392392,38.41450,39.08110
184,15.471471,38.41232,39.07789
185,15.550551,38.41014,39.07469
186,15.629630,38.40796,39.07148
187,15.708709,38.40578,39.06827
188,15.787788,38.40360,39.06507
189,15.866867,38.40142,39.06186
190,15.945946,38.39924,39.05866
191,16.025025,38.39705,39.05545
192,16.104104,38.39487,39.05225
193,16.183183,38.39268,39.04905
194,16.262262,38.39050,39.04585
195,16.341341,38.38831,39.04265
196,16.420420,38.38612,39.03945
197,16.499499,38.38393,39.03625
198,16.578579,38.38174,39.03306
199,16.657658,38.37955,39.02986
200,16.736737,38.37736,39.02667
201,16.815816,38.37516,39.02348
202,16.894895,38.37297,39.02028
203,16.973974,38.37077,39.01709
204,17.053053,38.36858,39.01390
205,17.132132,38.36638,39.01071
206,17.211211,38.36418,39.00752
207,17.290290,38.36198,39.00434
208,17.369369,38.35978,39.00115
209,17.448448,38.35758,38.99797
210,17.527528,38.35538,38.99478
211,17.606607,38.35317,38.99160
212,17.685686,38.35097,38.98842
213,17.764765,38.34876,38.98523
214,17.843844,38.34656,38.98205
215,17.922923,38.34435,38.97888
216,18.002002,38.34214,38.97570
217,18.081081,38.33993,38.97252
218,18.160160,38.33772,38.96935
219,18.239239,38.33551,38.96617
220,18.318318,38.33329,38.96300
221,18.397397,38.33108,38.95982
222,18.476476,38.32887,38.95665
223,18.555556,38.32665,38.95348
224,18.634635,38.32443,38.95031
225,18.713714,38.32221,38.94715
226,18.792793,38.31999,38.94398
227,18.871872,38.31777,38.94081
228,18.950951,38.31555,38.93765
229,19.030030,38.31333,38.93449
230,19.109109,38.31110,38.93132
231,19.188188,38.30888,38.92816
232,19.267267,38.30665,38.92500
233,19.346346,38.30442,38.92184
234,19.425425,38.30219,38.91868
235,19.504505,38.29996,38.91553
236,19.583584,38.29773,38.91237
237,19.662663,38.29550,38.90922
238,19.741742,38.29327,38.90606
239,19.820821,38.29103,38.90291
240,19.899900,38.28880,38.89976
241,19.978979,38.28656,38.89661
242,20.058058,38.28432,38.89346
243,20.137137,38.28208,38.89032
244,20.216216,38.27984,38.88717
245,20.295295,38.27760,38.88403
246,20.374374,38.27535,38.88088
247,20.453453,38.27311,38.87774
248,20.532533,38.27086,38.87460
249,20.611612,38.26862,38.87146
250,20.690691,38.26637,38.86832
251,20.769770,38.26412,38.86518
252,20.848849,38.26187,38.86205
253,20.927928,38.25962,38.85891
254,21.007007,38.25736,38.85578
255,21.086086,38.25511,38.85265
256,21.165165,38.25285,38.84952
257,21.244244,38.25060,38.84639
258,21.323323,38.24834,38.84326
259,21.402402,38.24608,38.84013
260,21.481481,38.24382,38.83700
261,21.560561,38.24156,38.83388
262,21.639640,38.23929,38.83076
263,21.718719,38.23703,38.82763
264,21.797798,38.23476,38.82451
265,21.876877,38.23249,38.82140
266,21.955956,38.23023,38.81828
267,22.035035,38.22796,38.81516
268,22.114114,38.22568,38.81205
269,22.193193,38.22341,38.80893
270,22.272272,38.22114,38.80582
271,22.351351,38.21886,38.80271
272,22.430430,38.21658,38.79960
273,22.509510,38.21431,38.79649
274,22.588589,38.21203,38.79338
275,22.667668,38.20975,38.79028
276,22.746747,38.20746,38.78717
277,22.825826,38.20518,38.78407
278,22.904905,38.20289,38.78097
279,22.983984,38.20061,38.77787
280,23.063063,38.19832,38.77477
281,23.142142,38.19603,38.77167
282,23.221221,38.19374,38.76858
283,23.300300,38.19145,38.76548
284,23.379379,38.18915,38.76239
285,23.458458,38.18686,38.75930
286,23.537538,38.18456,38.75621
287,23.616617,38.18226,38.75312
288,23.695696,38.17996,38.75003
289,23.774775,38.17766,38.74695
290,23.853854,38.17536,38.74386
291,23.932933,38.17306,38.74078
292,24.012012,38.17075,38.73770
293,24.091091,38.16844,38.73462
294,24.170170,38.16614,38.73154
295,24.249249,38.16383,38.72846
296,24.328328,38.16151,38.72539
297,24.407407,38.15920,38.72231
298,24.486486,38.15689,38.71924
299,24.565566,38.15457,38.71617
300,24.644645,38.15225,38.71310
301,24.723724,38.14993,38.71003
302,24.802803,38.14761,38.70697
303,24.881882,38.14529,38.70390
304,24.960961,38.14297,38.70084
305,25.040040,38.14064,38.69778
306,25.119119,38.13831,38.69472
307,25.198198,38.13599,38.69166
308,25.277277,38.13366,38.68861
309,25.356356,38.13132,38.68555
310,25.435435,38.12899,38.68250
311,25.514515,38.12666,38.67944
312,25.593594,38.12432,38.67639
313,25.672673,38.12198,38.67335
314,25.751752,38.11964,38.67030
315,25.830831,38.11730,38.66725
316,25.909910,38.11496,38.66421
317,25.988989,38.11261,38.66117
318,26.068068,38.11027,38.65813
319,26.147147,38.10792,38.65509
320,26.226226,38.10557,38.65205
321,26.305305,38.10322,38.64902
322,26.384384,38.10086,38.64598
323,26.463463,38.09851,38.64295
324,26.542543,38.09615,38.63992
325,26.621622,38.09379,38.63689
326,26.700701,38.09143,38.63386
327,26.779780,38.08907,38.63084
328,26.858859,38.08671,38.62782
329,26.937938,38.08435,38.62479
330,27.017017,38.08198,38.62177
331,27.096096,38.07961,38.61876
332,27.175175,38.07724,38.61574
333,27.254254,38.07487,38.61272
334,27.333333,38.07249,38.60971
335,27.412412,38.07012,38.60670
336,27.491491,38.06774,38.60369
337,27.570571,38.06536,38.60068
338,27.649650,38.06298,38.59768
339,27.728729,38.06060,38.59467
340,27.807808,38.05822,38.59167
341,27.886887,38.05583,38.58867
342,27.965966,38.05344,38.58567
343,28.045045,38.05105,38.58267
344,28.124124,38.04866,38.57968
345,28.203203,38.04627,38.57668
346,28.282282,38.04387,38.57369
347,28.361361,38.04148,38.57070
348,28.440440,38.03908,38.56771
349,28.519520,38.03668,38.56473
350,28.598599,38.03427,38.56174
351,28.677678,38.03187,38.55876
352,28.756757,38.02946,38.55578
353,28.835836,38.02706,38.55280
354,28.914915,38.02465,38.54982
355,28.993994,38.02223,38.54685
356,29.073073,38.01982,38.54388
357,29.152152,38.01741,38.54091
358,29.231231,38.01499,38.53794
359,29.310310,38.01257,38.53497
360,29.389389,38.01015,38.53200
361,29.468468,38.00772,38.52904
362,29.547548,38.00530,38.52608
363,29.626627,38.00287,38.52312
364,29.705706,38.00044,38.52016
365,29.784785,37.99801,38.51720
366,29.863864,37.99558,38.51425
367,29.942943,37.99314,38.51130
368,30.022022,37.99071,38.50835
369,30.101101,37.98827,38.50540
370,30.180180,37.98583,38.50245
371,30.259259,37.98339,38.49951
372,30.338338,37.98094,38.49657
373,30.417417,37.97849,38.49363
374,30.496496,37.97605,38.49069
375,30.575576,37.97360,38.48775
376,30.654655,37.97114,38.48482
377,30.733734,37.96869,38.48189
378,30.812813,37.96623,38.47896
379,30.891892,37.96377,38.47603
380,30.970971,37.96131,38.47310
381,31.050050,37.95885,38.47018
382,31.129129,37.95639,38.46726
383,31.208208,37.95392,38.46434
384,31.287287,37.95145,38.46142
385,31.366366,37.94898,38.45850
386,31.445445,37.94651,38.45559
387,31.524525,37.94403,38.45268
388,31.603604,37.94155,38.44977
389,31.682683,37.93907,38.44686
390,31.761762,37.93659,38.44396
391,31.840841,37.93411,38.44105
392,31.919920,37.93163,38.43815
393,31.998999,37.92914,38.43525
394,32.078078,37.92665,38.43235
395,32.157157,37.92416,38.42946
396,32.236236,37.92166,38.42657
397,32.315315,37.91917,38.42368
398,32.394394,37.91667,38.42079
399,32.473473,37.91417,38.41790
400,32.552553,37.91167,38.41502
401,32.631632,37.90916,38.41213
402,32.710711,37.90666,38.40925
403,32.789790,37.90415,38.40637
404,32.868869,37.90164,38.40350
405,32.947948,37.89912,38.40063
406,33.027027,37.89661,38.39775
407,33.106106,37.89409,38.39488
408,33.185185,37.89157,38.39202
409,33.264264,37.88905,38.38915
410,33.343343,37.88653,38.38629
411,33.422422,37.88400,38.38343
412,33.501502,37.88147,38.38057
413,33.580581,37.87894,38.37771
414,33.659660,37.87641,38.37486
415,33.738739,37.87387,38.37201
416,33.817818,37.87134,38.36916
417,33.896897,37.86880,38.36631
418,33.975976,37.86626,38.36346
419,34.055055,37.86371,38.36062
420,34.134134,37.86117,38.35778
421,34.213213,37.85862,38.35494
422,34.292292,37.85607,38.35211
423,34.371371,37.85352,38.34927
424,34.450450,37.85096,38.34644
425,34.529530,37.84840,38.34361
426,34.608609,37.84584,38.34078
427,34.687688,37.84328,38.33796
428,34.766767,37.84072,38.33513
429,34.845846,37.83815,38.33231
430,34.924925,37.83559,38.32949
431,35.004004,37.83302,38.32668
432,35.083083,37.83044,38.32386
433,35.162162,37.82787,38.32105
434,35.241241,37.82529,38.31824
435,35.320320,37.82271,38.31544
436,35.399399,37.82013,38.31263
437,35.478478,37.81754,38.30983
438,35.557558,37.81496,38.30703
439,35.636637,37.81237,38.30423
440,35.715716,37.80978,38.30143
441,35.794795,37.80719,38.29864
442,35.873874,37.80459,38.29585
443,35.952953,37.80199,38.29306
444,36.032032,37.79939,38.29027
445,36.111111,37.79679,38.28749
446,36.190190,37.79418,38.28471
447,36.269269,37.79158,38.28193
448,36.348348,37.78897,38.27915
449,36.427427,37.78636,38.27638
450,36.506507,37.78374,38.27360
451,36.585586,37.78113,38.27083
452,36.664665,37.77851,38.26806
453,36.743744,37.77589,38.26530
454,36.822823,37.77326,38.26253
455,36.901902,37.77064,38.25977
456,36.980981,37.76801,38.25701
457,37.060060,37.76538,38.25426
458,37.139139,37.76275,38.25150
459,37.218218,37.76011,38.24875
460,37.297297,37.75748,38.24600
461,37.376376,37.75484,38.24326
462,37.455455,37.75219,38.24051
463,37.534535,37.74955,38.23777
464,37.613614,37.74690,38.23503
465,37.692693,37.74425,38.23229
466,37.771772,37.74160,38.22955
467,37.850851,37.73895,38.22682
468,37.929930,37.73629,38.22409
469,38.009009,37.73364,38.22136
470,38.088088,37.73097,38.21864
471,38.167167,37.72831,38.21591
472,38.246246,37.72565,38.21319
473,38.325325,37.72298,38.21047
474,38.404404,37.72031,38.20776
475,38.483483,37.71764,38.20504
476,38.562563,37.71496,38.20233
477,38.641642,37.71228,38.19962
478,38.720721,37.70961,38.19691
479,38.799800,37.70692,38.19421
480,38.878879,37.70424,38.19150
481,38.957958,37.70155,38.18880
482,39.037037,37.69886,38.18611
483,39.116116,37.69617,38.18341
484,39.195195,37.69348,38.18072
485,39.274274,37.69078,38.17803
486,39.353353,37.68809,38.17534
487,39.432432,37.68538,38.17265
488,39.511512,37.68268,38.16997
489,39.590591,37.67998,38.16729
490,39.669670,37.67727,38.16461
491,39.748749,37.67456,38.16193
492,39.827828,37.67185,38.15926
493,39.906907,37.66913,38.15658
494,39.985986,37.66641,38.15391
495,40.065065,37.66370,38.15125
496,40.144144,37.66097,38.14858
497,40.223223,37.65825,38.14592
498,40.302302,37.65552,38.14326
499,40.381381,37.65279,38.14060
500,40.460460,37.65006,38.13795
501,40.539540,37.64733,38.13529
502,40.618619,37.64459,38.13264
503,40.697698,37.64186,38.12999
